,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
x,0.7280000305175781,0.745,0.915,0.899000015258789,0.860999984741211,0.8230000305175781,0.8090000152587891,0.9030000305175782,0.825,0.82,0.9069999694824219,0.8059999847412109,0.7709999847412109,0.7219999694824218,0.785,0.7830000305175782,0.7930000305175782,0.919000015258789,0.7440000152587891,0.845,0.754000015258789,0.8209999847412109,0.805,0.7269999694824218,0.8209999847412109,0.7219999694824218,0.89,0.87,0.7169999694824218,0.8209999847412109,0.769000015258789,0.685,0.7040000152587891,0.8019999694824219,0.9490000152587891,0.9369999694824219,0.9390000152587891,0.855999984741211,0.8919999694824219,0.8769999694824219,0.8419999694824218,0.9309999847412109,0.8780000305175781,0.8319999694824218,0.7609999847412109,0.92,0.8180000305175781,0.8909999847412109,0.794000015258789,0.8290000152587891,0.8119999694824219,0.740999984741211,0.7419999694824219,0.7819999694824219,0.8980000305175782,0.8090000152587891,0.8959999847412109,0.9259999847412109,0.7680000305175781,0.9159999847412109,0.855999984741211,0.8769999694824219,0.9130000305175782,0.8530000305175781,0.7869999694824219,0.8330000305175781,0.84,0.7719999694824219,0.765,0.7330000305175781,0.9180000305175782,0.7280000305175781,0.73,0.12100000381469726,0.7609999847412109,0.9230000305175782,0.9490000152587891
y,0.5479999923706055,0.35700000762939454,0.5879999923706055,0.40200000762939453,0.2879999923706055,0.44,0.27899999618530275,0.375,0.40599998474121096,0.29100000381469726,0.45599998474121095,0.295,0.3770000076293945,0.435,0.5879999923706055,0.28299999237060547,0.29700000762939455,0.4640000152587891,0.40599998474121096,0.3139999961853027,0.590999984741211,0.3609999847412109,0.295,0.5429999923706055,0.5209999847412109,0.4,0.47200000762939454,0.3920000076293945,0.525,0.6880000305175781,0.37400001525878906,0.2989999961853027,0.5270000076293946,0.725999984741211,0.23,0.5070000076293946,0.29100000381469726,0.4809999847412109,0.28899999618530275,0.33,0.2670000076293945,0.385,0.40599998474121096,0.30100000381469727,0.3220000076293945,0.27399999618530274,0.43099998474121093,0.2589999961853027,0.26600000381469724,0.28700000762939454,0.455,0.3390000152587891,0.585,0.5790000152587891,0.39299999237060546,0.48900001525878906,0.6469999694824219,0.3579999923706055,0.500999984741211,0.33799999237060546,0.3160000038146973,0.315,0.34299999237060547,0.34900001525878904,0.525,0.325,0.5359999847412109,0.6140000152587891,0.5459999847412109,0.720999984741211,0.3870000076293945,0.6020000076293945,0.5329999923706055,0.3079999923706055,0.6840000152587891,0.36900001525878906,0.3320000076293945
xG,0.020164452493190765,0.018196946009993553,0.061237238347530365,0.12172402441501617,0.036330290138721466,0.05939914658665657,0.023377392441034317,0.11522946506738663,0.06804096698760986,0.015273096971213818,0.04234421253204346,0.04583125561475754,0.02889340929687023,0.025247722864151,0.045659568160772324,0.014592386782169342,0.02194082923233509,0.055784668773412704,0.019769776612520218,0.027211807668209076,0.008487590588629246,0.040194932371377945,0.029497861862182617,0.04915924742817879,0.018250716850161552,0.019859464839100838,0.04439658671617508,0.09454001486301422,0.04474075511097908,0.015398193150758743,0.02011178992688656,0.012320658192038536,0.03926669806241989,0.016188211739063263,0.030899401754140854,0.12087445706129074,0.05743875354528427,0.0893055722117424,0.05843403935432434,0.061179209500551224,0.041798584163188934,0.08272937685251236,0.07267902791500092,0.03905586525797844,0.02567523717880249,0.052863944321870804,0.09588468819856644,0.04746343195438385,0.054367002099752426,0.026513272896409035,0.04899170994758606,0.01688983105123043,0.012159278616309166,0.0302775576710701,0.3541538417339325,0.07318468391895294,0.02444070763885975,0.30364423990249634,0.04279056936502457,0.027604693546891212,0.04407883808016777,0.05773898586630821,0.08391793072223663,0.07387852668762207,0.10499846190214157,0.037195950746536255,0.0715102106332779,0.025072289630770683,0.02592204324901104,0.03543131425976753,0.3566390872001648,0.04582448676228523,0.013116554357111454,0,0.050480056554079056,0.06362634152173996,0.07393097132444382
shot_result,BlockedShot,MissedShots,MissedShots,BlockedShot,MissedShots,BlockedShot,MissedShots,SavedShot,BlockedShot,MissedShots,BlockedShot,MissedShots,BlockedShot,SavedShot,MissedShots,SavedShot,MissedShots,MissedShots,Goal,BlockedShot,BlockedShot,MissedShots,BlockedShot,SavedShot,MissedShots,BlockedShot,MissedShots,BlockedShot,SavedShot,SavedShot,MissedShots,MissedShots,SavedShot,MissedShots,SavedShot,SavedShot,SavedShot,BlockedShot,MissedShots,BlockedShot,SavedShot,MissedShots,BlockedShot,BlockedShot,MissedShots,SavedShot,SavedShot,BlockedShot,BlockedShot,MissedShots,BlockedShot,MissedShots,BlockedShot,BlockedShot,Goal,BlockedShot,BlockedShot,Goal,SavedShot,Goal,Goal,MissedShots,BlockedShot,BlockedShot,BlockedShot,MissedShots,MissedShots,MissedShots,SavedShot,MissedShots,MissedShots,SavedShot,MissedShots,OwnGoal,MissedShots,BlockedShot,Goal
shot_type,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,Head,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,Head,RightFoot,RightFoot,RightFoot,LeftFoot,LeftFoot,RightFoot,RightFoot,RightFoot,Head,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,OtherBodyPart,RightFoot,LeftFoot,LeftFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,LeftFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,LeftFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,Head,RightFoot,RightFoot,RightFoot
home_team,Burnley,Chelsea,Everton,Tottenham,Brighton,Brighton,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Bournemouth,Bournemouth,Sheffield United,Liverpool,Chelsea,Brighton,Manchester United,Burnley,Burnley,Chelsea,Chelsea,Newcastle United,Newcastle United,Chelsea,Everton,Everton,Everton,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Arsenal,Leicester,Leicester,Chelsea,Tottenham,Sheffield United,Sheffield United,Chelsea,Southampton,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Crystal Palace,Manchester City,Manchester City,Manchester City,Chelsea,Chelsea,Arsenal,Arsenal,Arsenal,Arsenal,Chelsea,Newcastle United,Newcastle United,Newcastle United,Newcastle United,Chelsea,Chelsea,Leicester,Chelsea,Chelsea,Chelsea,West Ham,Chelsea,Chelsea,Chelsea,Chelsea,Aston Villa,Aston Villa,Burnley,Burnley
away_team,Chelsea,West Ham,Chelsea,Chelsea,Chelsea,Chelsea,Burnley,Burnley,Burnley,Manchester United,Manchester United,Tottenham,Tottenham,Chelsea,Chelsea,Chelsea,Chelsea,Wolverhampton Wanderers,Chelsea,Chelsea,Chelsea,Chelsea,Sheffield United,Sheffield United,Chelsea,Chelsea,Leeds,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Burnley,Chelsea,Chelsea,Chelsea,Newcastle United,Chelsea,Manchester United,Everton,Everton,West Bromwich Albion,West Bromwich Albion,Chelsea,Chelsea,Chelsea,Chelsea,Leicester,Leicester,Chelsea,Chelsea,Chelsea,Chelsea,Norwich,Chelsea,Chelsea,Chelsea,Chelsea,Burnley,Burnley,Chelsea,Manchester United,Manchester United,Manchester United,Chelsea,Leeds,Everton,Everton,Everton,Chelsea,Chelsea,Chelsea,Chelsea
season,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
